id,longitude,latitude
612-brew-minneapolis,-93.2062058,45.000631
able-seedhouse-and-brewery-minneapolis,-93.2510686,44.9993934
bauhaus-brew-labs-minneapolis,-93.237365,45.042082
dangerous-man-brewing-co-minneapolis,-93.26664,45.046388
indeed-brewing-co-minneapolis,,
insight-brewing-company-minneapolis,-93.2702061,44.9812702
sociable-cider-werks-minneapolis,-93.2422388,45.0239772
6th-and-la-brea-los-angeles,-118.3440213,34.0730485
7-devils-brewing-co-coos-bay,-124.2147508,43.36654751
7-hermits-brewing-company-eagle,,
bonfire-brewing-eagle,-106.82826,39.65531966
bonfire-brewing-production-eagle,,
7-hills-brewing-company-dubuque,-90.6635263,42.5045556
catfish-charlies-catfish-creek-brew-pub-dubuque,-90.65372886,42.51225898
dimensional-brewing-co-dubuque,-90.664108,42.494438
jubeck-new-world-brewing-dubuque,-90.66770404,42.50362393
7-locks-brewing-rockville,,
7-mile-brewery-rio-grande,,
cape-may-brewing-company-rio-grande-rio-grande,,
7-seas-brewing-co-tacoma,-122.4390379,47.242614
black-fleet-brewing-tacoma,-122.44036,47.24082
dystopian-state-brewing-tacoma,-122.4433066,47.25836061
e9-brewing-company-tacoma,-122.44,47.238169
harmon-brewing-company-tacoma,-122.4457804,47.26209356
mcmenamins-elks-temple-tacoma,,
odd-otter-brewing-company-tacoma,-122.437927,47.250289
pacific-brewing-and-malting-tacoma,-122.437927,47.250289
ram-restaurant-and-brewery-tacoma-tacoma,-122.474793,47.2797382
rock-wood-fired-pizza-and-brewery-tacoma-tacoma,-122.4392853,47.24409495
sig-brewing-co-tacoma,-122.441312,47.237072
tacoma-brewing-co-tacoma,-122.4437398,47.25256141
7-sins-brewery-ripley,-79.7497349,42.24869073
7-sisters-brewing-co-san-luis-obispo,-120.6706375,35.2467278
bang-the-drum-brewery-san-luis-obispo,-120.6452338,35.2615498
central-coast-brewing-co-higuera-st-san-luis-obispo,-120.6709908,35.2651725
central-coast-brewing-co-monterey-st-san-luis-obispo,-120.6557240024368,35.285974619471446
libertine-brewing-company-san-luis-obispo,-120.6631926,35.2777052
slo-brewing-co-san-luis-obispo,-120.6640407,35.2793012
slo-brewing-co-the-rock-san-luis-obispo,-120.64118046010937,35.24187275534458
tap-it-brewing-co-san-luis-obispo,-120.64596873127358,35.244279987369865
there-does-not-exist-san-luis-obispo,-120.6596156,35.2827525
underground-brewing-co-san-luis-obispo,-120.6420324,35.2493387
718brewcafe-llp-metropolis,-88.73129158,37.15373334
734-brewing-company-ypsilanti,-83.61103475,42.24586784
arbor-brewing-co-microbrewery-ypsilanti,-83.6099915,42.250158
7th-settlement-brewery-dover,-70.8728379,43.1953787
garrison-city-beerworks-dover,-70.87391507,43.19759761
7th-wave-brewing-medfield,,
zelus-beer-company-medfield,-71.335472,42.200799
7venth-sun-brewery-dunedin,,
caledonia-brewing-dunedin,-82.7840735,28.01394225
cueni-brewing-co-dunedin,-82.78928423,28.01440368
dunedin-brewery-and-public-house-dunedin,-82.78782561,28.01418231
dunedin-brewery-production-facility-dunedin,,
soggy-bottom-brewing-co-dunedin,-82.78271981,28.0152064
woodwright-brewing-company-dunedin,-82.78780975,28.01539972
7venth-sun-tampa-tampa,-82.4500207,27.9495902
angry-chair-brewing-llc-tampa,-82.459381,28.005127
8-bit-aleworks-avondale,,
8-bit-brewing-company-murrieta,-117.17625419083654,33.530334483610716
electric-brewing-co-murrieta,-117.172438,33.5268827
garage-brewing-company-murrieta,-117.14357794665912,33.48271424288112
inland-wharf-brewing-company-murrieta,-117.17818018898639,33.53464489871686
81bay-brewing-company-tampa,,
841-brewhouse-whitewater,-88.71427344,42.8323014
second-salem-brewing-company-whitewater,-88.73175257,42.8327499
8one8-brewing-company-canoga-park,-118.5885323,34.2218019
8th-street-ale-haus-sheboygan,-87.71305702,43.75674392
8th-ward-brewing-company-poughkeepsie,,
plan-bee-farm-brewery-poughkeepsie,-73.88591274,41.71721405
8th-wonder-brewery-houston,-95.3559402,29.7487783
moon-tower-sudworks-houston,-95.3409715,29.7543105
sigma-brewing-company-houston,-95.3435901,29.7489938
true-anomaly-brewing-houston,,
903-brewers-sherman,-96.60698055,33.61788732
