id,name,brewery_type
schlafly-beerthe-saint-louis-brewery-llc-saint-louis,"Schlafly Beer/The Saint Louis Brewery, LLC",regional
wellspent-brewing-company-saint-louis,Wellspent Brewing Company,micro
23-brewing-company-lizzie-bs-cafe-prestonsburg,23 Brewing Company / Lizzie B's Cafe,brewpub
238-brewing-company-mead,238 Brewing Company,closed
big-barn-brewing-co-bodacious-berries-fruits-and-brews-mead,Big Barn Brewing Co / Bodacious Berries Fruits and Brews,micro
23rd-street-brewery-lawrence,23rd Street Brewery,brewpub
26-degree-brewing-company-pompano-beach,26 Degree Brewing Company,micro
dangerous-minds-brewing-co-pompano-beach,Dangerous Minds Brewing Co,planning
28th-state-brewing-houston,28th State Brewing,planning
2c-family-brewing-co-nampa,2C Family Brewing Co.,micro
crescent-brewery-nampa,Crescent Brewery,micro
2kids-brewing-company-san-diego,2Kids Brewing Company,micro
alesmith-brewing-co-san-diego,AleSmith Brewing Co,regional
align-brewing-co-san-diego,Align Brewing Co,micro
intergalactic-brewing-co-san-diego,Intergalactic Brewing Co,micro
little-miss-brewing-san-diego,Little Miss Brewing,micro
mike-hess-brewing-miramar-san-diego,Mike Hess Brewing - Miramar,micro
mikkeller-brewing-san-diego-san-diego,Mikkeller Brewing San Diego,micro
protector-brewery-san-diego,Protector Brewery,micro
thunderhawk-alements-san-diego,Thunderhawk Alements,micro
white-labs-tasting-room-san-diego,White Labs Tasting Room,micro
2nd-shift-brewing-co-saint-louis,2nd Shift Brewing Co,brewpub
brew-hub-taproom-saint-louis,Brew Hub Taproom,brewpub
high-heel-brewing-saint-louis,High Heel Brewing,closed
modern-brewery-saint-louis,Modern Brewery,micro
rockwell-beer-company-saint-louis,Rockwell Beer Company,regional
urban-chestnut-brewing-co-saint-louis,Urban Chestnut Brewing Co,regional
urban-research-brewery-saint-louis,Urban Research Brewery,brewpub
2nd-story-brewing-company-philadelphia,2nd Story Brewing Company,brewpub
2sp-brewing-company-aston,2SP Brewing Company,micro
aston-abbey-brewing-co-aston,Aston Abbey Brewing Co,micro
3-beards-beer-company-williamsburg,3 Beards Beer Company,contract
brewmasters-tavern-brewmasters-brewing-services-williamsburg,Brewmasters Tavern / Brewmasters Brewing Services,micro
3-daughters-brewing-saint-petersburg,3 Daughters Brewing,micro
cage-brewing-saint-petersburg,Cage Brewing,micro
cycle-brewing-production-and-warehouse-saint-petersburg,Cycle Brewing Production and Warehouse,micro
pinellas-ale-works-saint-petersburg,Pinellas Ale Works,micro
right-around-the-corner-saint-petersburg,Right Around The Corner,micro
3-disciples-brewing-sebastopol,3 Disciples Brewing,micro
california-cider-co-sebastopol,California Cider Co.,planning
crooked-goat-brewing-sebastopol,Crooked Goat Brewing,micro
woodfour-brewing-company-sebastopol,Woodfour Brewing Company,brewpub
3-freaks-brewing-co-highlands-ranch,3 Freaks Brewing Co,micro
3-iron-brewing-company-colton,3 Iron Brewing Company,micro
3-keys-brewing-company-llc-bradenton,"3 Keys Brewing Company, LLC",brewpub
little-giant-brewery-bradenton,Little Giant Brewery,planning
3-nations-brewing-farmers-branch,3 Nations Brewing,micro
dauntless-brewing-company-farmers-branch,Dauntless Brewing Company,planning
hop-and-sting-brewing-company-farmers-branch,Hop And Sting Brewing Company,micro
3-sheeps-brewing-co-sheboygan,3 Sheeps Brewing Co,micro
3-sheets-brewery-albany,3 Sheets Brewery,micro
calapooia-brewing-co-siletz-ales-albany,Calapooia Brewing Co / Siletz Ales,micro
deluxe-brewing-co-albany,Deluxe Brewing Co,micro
3-sons-brewing-co-dania,3 Sons Brewing Co.,proprietor
3-stars-brewing-co-washington,3 Stars Brewing Co,micro
3-trails-brewing-co-independence,3 Trails Brewing Co,micro
30-mile-brewing-co-old-saybrook,30 Mile Brewing Co.,closed
300-suns-brewing-company-longmont,300 Suns Brewing Company,brewpub
bootstrap-brewing-longmont,Bootstrap Brewing,micro
brewmented-longmont,Brewmented,micro
grossen-bart-brewery-longmont,Grossen Bart Brewery,micro
left-hand-brewing-company-longmont,Left Hand Brewing Company,regional
oskar-blues-brewery-and-tasty-weasel-tap-room-longmont,Oskar Blues Brewery & Tasty Weasel Tap Room,regional
pumphouse-brewery-and-restaurant-longmont,Pumphouse Brewery and Restaurant,brewpub
shoes-and-brews-longmont,Shoes & Brews,micro
wibby-brewing-longmont,Wibby Brewing,micro
32-north-brewing-co-san-diego,32 North Brewing Co,closed
alpine-beer-company-san-diego,Alpine Beer Company,brewpub
amplified-ale-works-miramar-studio-san-diego,Amplified Ale Works Miramar Studio,brewpub
ballast-point-brewing-company-san-diego-1,Ballast Point Brewing Company,large
ballast-point-brewing-company-san-diego-2,Ballast Point Brewing Company,large
california-wild-ales-san-diego,California Wild Ales,contract
constellation-brands-san-diego,Constellation Brands,closed
division-23-brewing-san-diego,Division 23 Brewing,micro
duck-foot-brewing-co-san-diego,Duck Foot Brewing Co.,micro
green-flash-brewing-co-san-diego,Green Flash Brewing Co,regional
karl-strauss-brewing-co-sorrento-mesa-san-diego,Karl Strauss Brewing Co - Sorrento Mesa,brewpub
longship-brewery-san-diego,Longship Brewery,closed
new-english-brewing-co-inc-san-diego,New English Brewing Co Inc,micro
pure-project-san-diego,Pure Project,micro
rough-draft-brewing-san-diego,Rough Draft Brewing,micro
saint-archer-brewing-company-san-diego,Saint Archer Brewing Company,large
34-degree-north-experiment-station-shallotte,34 Degree North Experiment Station,micro
350-brewing-co-tinley-park,350 Brewing Co,brewpub
38-state-brewing-littleton,38 State Brewing,micro
blue-spruce-brewing-centennial,Blue Spruce Brewing,brewpub
halfpenny-brewing-company-centennial,Halfpenny Brewing Company,micro
380-brewing-company-clancy,380 Brewing Company,planning
38a-75a-brewing-rehoboth-beach,38Â°-75Â° Brewing,brewpub
dewey-beer-co-dewey-beach,Dewey Beer Co.,brewpub
dogfish-head-brewings-and-eats-rehoboth-beach,Dogfish Head Brewings & Eats,brewpub
fins-big-oyster-brewery-rehoboth-beach,Fins Big Oyster Brewery,brewpub
iron-hill-brewery-and-restaurant-rehoboth-beach-rehoboth-beach,Iron Hill Brewery & Restaurant - Rehoboth Beach,brewpub
revelation-craft-brewing-co-rehoboth-beach,Revelation Craft Brewing Co,micro
3cross-fermentation-cooperative-worcester,3cross Fermentation Cooperative,micro
3halves-brewing-co-liberty,3Halves Brewing Co,brewpub
rock-and-run-brewery-liberty,Rock & Run Brewery,closed
3rd-degree-brewhouse-fuquay-varina,3rd Degree Brewhouse,micro
aviator-brewing-company-fuquay-varina,Aviator Brewing Company,regional
fainting-goat-brewing-company-fuquay-varina,Fainting Goat Brewing Company,micro
mason-jar-lager-co-fuquay-varina,Mason Jar Lager Co.,micro
oaklyn-springs-brewery-fuquay-varina,Oaklyn Springs Brewery,planning
3rd-planet-brewing-niceville,3rd Planet Brewing,micro
