postal_code,county,ZHVI
95677,Placer County,652065.0
95677,Placer County,652065.0
95677,Placer County,652065.0
49802,Dickinson County,129835.0
60559,DuPage County,335858.0
60559,DuPage County,335858.0
98671,Clark County,618162.0
98671,Clark County,618162.0
98671,Clark County,618162.0
87410,San Juan County,219529.0
93612,Fresno County,363776.0
93612,Fresno County,363776.0
93612,Fresno County,363776.0
55418,Hennepin County,334120.0
55418,Hennepin County,334120.0
55418,Hennepin County,334120.0
55418,Hennepin County,334120.0
55418,Hennepin County,334120.0
62467,Effingham County,253407.0
78641,Williamson County,519044.0
78641,Williamson County,519044.0
98901,Yakima County,319492.0
98901,Yakima County,319492.0
98901,Yakima County,319492.0
98901,Yakima County,319492.0
98901,Yakima County,319492.0
78572,Hidalgo County,181538.0
80215,Jefferson County,743121.0
22406,Stafford County,526171.0
30097,Gwinnett County,696480.0
10562,Westchester County,592322.0
10562,Westchester County,592322.0
3053,Rockingham County,527440.0
3053,Rockingham County,527440.0
3053,Rockingham County,527440.0
3053,Rockingham County,527440.0
54603,La Crosse County,186176.0
54603,La Crosse County,186176.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
55413,Hennepin County,340167.0
90036,Los Angeles County,2068366.0
97420,Coos County,358977.0
81631,Eagle County,973192.0
81631,Eagle County,973192.0
81631,Eagle County,973192.0
52001,Dubuque County,191258.0
52001,Dubuque County,191258.0
52001,Dubuque County,191258.0
52001,Dubuque County,191258.0
20852,Montgomery County,560574.0
8242,Cape May County,342319.0
8242,Cape May County,342319.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
98402,Pierce County,439332.0
14775,Chautauqua County,125727.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
93401,San Luis Obispo County,1028444.0
62960,Massac County,90949.0
48198,Washtenaw County,200253.0
48198,Washtenaw County,200253.0
3820,Strafford County,455902.0
3820,Strafford County,455902.0
2052,Norfolk County,908384.0
2052,Norfolk County,908384.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
34698,Pinellas County,431669.0
33604,Hillsborough County,342339.0
33604,Hillsborough County,342339.0
85323,Maricopa County,379447.0
92562,Riverside County,671512.0
92562,Riverside County,671512.0
92562,Riverside County,671512.0
92562,Riverside County,671512.0
33611,Hillsborough County,491605.0
53190,Walworth County,295304.0
53190,Walworth County,295304.0
91304,Los Angeles County,894980.0
53081,Sheboygan County,182829.0
12603,Dutchess County,386218.0
12603,Dutchess County,386218.0
77003,Harris County,373132.0
77003,Harris County,373132.0
77003,Harris County,373132.0
77003,Harris County,373132.0
75090,Grayson County,212301.0
75090,Grayson County,212301.0
93428,San Luis Obispo County,1124337.0
46373,Lake County,431992.0
46373,Lake County,431992.0
60081,McHenry County,371490.0
57068,Minnehaha County,356444.0
32514,Escambia County,250619.0
32514,Escambia County,250619.0
32207,Duval County,294874.0
32207,Duval County,294874.0
14527,Yates County,243077.0
14527,Yates County,243077.0
14527,Yates County,243077.0
1027,Hampshire County,386582.0
1027,Hampshire County,386582.0
1027,Hampshire County,386582.0
1027,Hampshire County,386582.0
1027,Hampshire County,386582.0
1027,Hampshire County,386582.0
33139,Miami-Dade County,448270.0
33139,Miami-Dade County,448270.0
87505,Santa Fe County,557314.0
87505,Santa Fe County,557314.0
87505,Santa Fe County,557314.0
48843,Livingston County,361490.0
48843,Livingston County,361490.0
48843,Livingston County,361490.0
48843,Livingston County,361490.0
30263,Coweta County,314892.0
90254,Los Angeles County,2299740.0
90254,Los Angeles County,2299740.0
70433,Saint Tammany Parish,328461.0
70433,Saint Tammany Parish,328461.0
89104,Clark County,350691.0
89104,Clark County,350691.0
3054,Hillsborough County,462611.0
3054,Hillsborough County,462611.0
92127,San Diego County,1522228.0
92127,San Diego County,1522228.0
25414,Jefferson County,377812.0
25414,Jefferson County,377812.0
37919,Knox County,483255.0
37919,Knox County,483255.0
37919,Knox County,483255.0
90503,Los Angeles County,1224472.0
90503,Los Angeles County,1224472.0
90503,Los Angeles County,1224472.0
92037,San Diego County,2369010.0
92037,San Diego County,2369010.0
92037,San Diego County,2369010.0
92037,San Diego County,2369010.0
82001,Laramie County,333623.0
82001,Laramie County,333623.0
82001,Laramie County,333623.0
80128,Jefferson County,625376.0
78620,Hays County,867854.0
78620,Hays County,867854.0
78620,Hays County,867854.0
78620,Hays County,867854.0
98371,Pierce County,600223.0
98371,Pierce County,600223.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
92110,San Diego County,1002017.0
43219,Franklin County,167839.0
43219,Franklin County,167839.0
98272,Snohomish County,702146.0
98272,Snohomish County,702146.0
98272,Snohomish County,702146.0
98272,Snohomish County,702146.0
12845,Warren County,425844.0
13642,Saint Lawrence County,104717.0
20001,District of Columbia,717390.0
20001,District of Columbia,717390.0
94949,Marin County,1307831.0
94949,Marin County,1307831.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
20132,Loudoun County,790566.0
22405,Stafford County,429814.0
22405,Stafford County,429814.0
22408,Spotsylvania County,397056.0
22408,Spotsylvania County,397056.0
80212,Denver County,804893.0
80212,Denver County,804893.0
80212,Denver County,804893.0
80212,Denver County,804893.0
80212,Denver County,804893.0
80212,Denver County,804893.0
67203,Sedgwick County,145351.0
67203,Sedgwick County,145351.0
2143,Middlesex County,848563.0
2143,Middlesex County,848563.0
2143,Middlesex County,848563.0
92590,Riverside County,1491771.0
92590,Riverside County,1491771.0
92590,Riverside County,1491771.0
92590,Riverside County,1491771.0
92590,Riverside County,1491771.0
92590,Riverside County,1491771.0
60148,DuPage County,322651.0
60148,DuPage County,322651.0
60148,DuPage County,322651.0
40217,Jefferson County,230804.0
40217,Jefferson County,230804.0
40202,Jefferson County,325242.0
40202,Jefferson County,325242.0
40202,Jefferson County,325242.0
40202,Jefferson County,325242.0
40203,Jefferson County,153638.0
40203,Jefferson County,153638.0
54868,Barron County,239727.0
97408,Lane County,605339.0
54201,Kewaunee County,183457.0
3101,Hillsborough County,361976.0
3101,Hillsborough County,361976.0
29801,Aiken County,207620.0
4428,Penobscot County,255454.0
98032,King County,557837.0
98032,King County,557837.0
98031,King County,659110.0
30606,Clarke County,343784.0
40206,Jefferson County,273448.0
40206,Jefferson County,273448.0
97213,Multnomah County,595938.0
97213,Multnomah County,595938.0
97213,Multnomah County,595938.0
97213,Multnomah County,595938.0
94501,Alameda County,1318137.0
94501,Alameda County,1318137.0
94501,Alameda County,1318137.0
78202,Bexar County,238207.0
78202,Bexar County,238207.0
60646,Cook County,512871.0
95811,Sacramento County,622637.0
95811,Sacramento County,622637.0
95811,Sacramento County,622637.0
95811,Sacramento County,622637.0
95811,Sacramento County,622637.0
99801,Juneau Borough,509433.0
99801,Juneau Borough,509433.0
99801,Juneau Borough,509433.0
99801,Juneau Borough,509433.0
52531,Monroe County,142920.0
49224,Calhoun County,136593.0
37882,Blount County,482000.0
32137,Flagler County,451883.0
78582,Starr County,107690.0
5676,Washington County,451851.0
5676,Washington County,451851.0
17331,York County,250273.0
17331,York County,250273.0
